rxcui_from,tty_from,rxcui_to,tty_to
2646704,SCDFP,1734484,SBD
2646704,SCDFP,905191,SBD
2646704,SCDFP,1734084,SCD
2646704,SCDFP,1734090,SCD
2646704,SCDFP,1734203,SCD
2646704,SCDFP,1734207,SCD
2646704,SCDFP,1734347,SCD
2646704,SCDFP,1734355,SCD
2646704,SCDFP,1734475,SCD
2646704,SCDFP,1734479,SCD
2646704,SCDFP,1734481,SCD
2646704,SCDFP,1734483,SCD
2646704,SCDFP,905189,SCD
2648059,SCDFP,1996291,SCD
2648059,SCDFP,1996297,SCD
364573,SBDF,861066,SBD
364573,SBDF,861064,SCD
368413,SBDF,208149,SBD
368413,SBDF,208161,SBD
368413,SBDF,212233,SBD
368413,SBDF,312938,SCD
368413,SBDF,312940,SCD
368413,SBDF,312941,SCD
373867,SCDF,251201,SCD
373867,SCDF,410584,SCD
373868,SCDF,208149,SBD
373868,SCDF,208161,SBD
373868,SCDF,212233,SBD
373868,SCDF,312938,SCD
373868,SCDF,312940,SCD
373868,SCDF,312941,SCD
374622,SCDF,861066,SBD
374622,SCDF,861064,SCD
1087207,SBDF,1087208,SBD
1087207,SBDF,999799,SCD
1087237,SBDF,1087238,SBD
1087237,SBDF,836268,SCD
1087301,SBDF,1087302,SBD
1087301,SBDF,1087298,SCD
1087409,SBDF,1087410,SBD
1087409,SBDF,1087406,SCD
1087417,SBDF,1087418,SBD
1087417,SBDF,1087414,SCD
1088868,SBDF,1088869,SBD
1088868,SBDF,242668,SCD
1090835,SBDF,1090975,SBD
1090835,SBDF,1090973,SCD
1090971,SBDF,1090972,SBD
1090971,SBDF,1090968,SCD
1102205,SBDF,1102207,BPCK
1102205,SBDF,1102202,GPCK
1102205,SBDF,1102206,SBD
1102205,SBDF,1102196,SCD
1114341,SBDF,1114342,SBD
1114341,SBDF,826653,SBD
1114341,SBDF,826650,SCD
1114341,SBDF,826656,SCD
1119572,SBDF,1119573,SBD
1119572,SBDF,1119569,SCD
