"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"71285-8073","HUMAN COMPOUNDED DRUG","Magnesium Sulfate 50% (4.06mEq/ml) Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","MAGNESIUM SULFATE HEPTAHYDRATE","255 g/500 mL","71285-8073-1","500 mL in 1 BAG (71285-8073-1)","2022-1, 2021-2, 2022-2",""
"71285-8075","HUMAN COMPOUNDED DRUG","Sodium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM ACETATE ANHYDROUS","1000 meq/500 mL","71285-8075-1","500 mL in 1 BAG (71285-8075-1)","2021-2, 2022-1, 2022-2",""
"71285-8075","HUMAN COMPOUNDED DRUG","Sodium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM ACETATE ANHYDROUS","1000 meq/500 mL","71285-8075-1","500 mL in 1 BAG (71285-8075-1)","2021-2, 2022-1, 2022-2",""
"71285-8075","HUMAN COMPOUNDED DRUG","Sodium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM ACETATE ANHYDROUS","1000 meq/500 mL","71285-8075-1","500 mL in 1 BAG (71285-8075-1)","2021-2, 2022-1, 2022-2",""
"71285-8075","HUMAN COMPOUNDED DRUG","Sodium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM ACETATE ANHYDROUS","1000 meq/500 mL","71285-8075-2","1000 mL in 1 BAG (71285-8075-2)","2022-1",""
"71285-8077","HUMAN COMPOUNDED DRUG","Sodium Phosphate (4mEq/3mmol)/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; SODIUM PHOSPHATE, DIBASIC, ANHYDROUS","34.5 g/500 mL; 35.5 g/500 mL","71285-8077-1","500 mL in 1 BAG (71285-8077-1)","2021-2, 2022-2, 2022-1",""
"71285-8077","HUMAN COMPOUNDED DRUG","Sodium Phosphate (4mEq/3mmol)/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; SODIUM PHOSPHATE, DIBASIC, ANHYDROUS","34.5 g/500 mL; 35.5 g/500 mL","71285-8077-1","500 mL in 1 BAG (71285-8077-1)","2021-2, 2022-2, 2022-1",""
"71285-8077","HUMAN COMPOUNDED DRUG","Sodium Phosphate (4mEq/3mmol)/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; SODIUM PHOSPHATE, DIBASIC, ANHYDROUS","34.5 g/500 mL; 35.5 g/500 mL","71285-8077-1","500 mL in 1 BAG (71285-8077-1)","2021-2, 2022-2, 2022-1",""
"71285-8078","HUMAN COMPOUNDED DRUG","Potassium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM ACETATE","2 meq/1 mL","71285-8078-1","500 mL in 1 BAG (71285-8078-1)","2021-2, 2022-2, 2022-1",""
"71285-8078","HUMAN COMPOUNDED DRUG","Potassium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM ACETATE","2 meq/1 mL","71285-8078-1","500 mL in 1 BAG (71285-8078-1)","2021-2, 2022-2, 2022-1",""
"71285-8078","HUMAN COMPOUNDED DRUG","Potassium Acetate 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM ACETATE","2 meq/1 mL","71285-8078-1","500 mL in 1 BAG (71285-8078-1)","2021-2, 2022-2, 2022-1",""
"71285-8086","HUMAN COMPOUNDED DRUG","Tromethamine 0.3M","SOLUTION","EXTRACORPOREAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","TROMETHAMINE",".036 g/1 mL","71285-8086-2","50 mL in 1 SYRINGE (71285-8086-2)","2021-2, 2022-2, 2022-1",""
"71285-8086","HUMAN COMPOUNDED DRUG","Tromethamine 0.3M","SOLUTION","EXTRACORPOREAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","TROMETHAMINE",".036 g/1 mL","71285-8086-2","50 mL in 1 SYRINGE (71285-8086-2)","2021-2, 2022-2, 2022-1",""
"71285-8086","HUMAN COMPOUNDED DRUG","Tromethamine 0.3M","SOLUTION","EXTRACORPOREAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","TROMETHAMINE",".036 g/1 mL","71285-8086-2","50 mL in 1 SYRINGE (71285-8086-2)","2021-2, 2022-2, 2022-1",""
"71285-8088","HUMAN COMPOUNDED DRUG","Lidocaine 250mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","250 mg/250 mL","71285-8088-1","250 mL in 1 BAG (71285-8088-1)","2021-2, 2022-2, 2022-1",""
"71285-8088","HUMAN COMPOUNDED DRUG","Lidocaine 250mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","250 mg/250 mL","71285-8088-1","250 mL in 1 BAG (71285-8088-1)","2021-2, 2022-2, 2022-1",""
"71285-8088","HUMAN COMPOUNDED DRUG","Lidocaine 250mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","250 mg/250 mL","71285-8088-1","250 mL in 1 BAG (71285-8088-1)","2021-2, 2022-2, 2022-1",""
"71285-8089","HUMAN COMPOUNDED DRUG","Lidocaine 500mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","500 mg/500 mL","71285-8089-1","500 mL in 1 BAG (71285-8089-1)","2021-2, 2022-2, 2022-1",""
"71285-8089","HUMAN COMPOUNDED DRUG","Lidocaine 500mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","500 mg/500 mL","71285-8089-1","500 mL in 1 BAG (71285-8089-1)","2021-2, 2022-2, 2022-1",""
"71285-8089","HUMAN COMPOUNDED DRUG","Lidocaine 500mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","500 mg/500 mL","71285-8089-1","500 mL in 1 BAG (71285-8089-1)","2021-2, 2022-2, 2022-1",""
"71285-8090","HUMAN COMPOUNDED DRUG","Potassium Chloride 2mEq/ml Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","POTASSIUM CHLORIDE","2 meq/1 mL","71285-8090-1","500 mL in 1 BAG (71285-8090-1)","2022-2",""
"71285-8091","HUMAN COMPOUNDED DRUG","Lidocaine 2% (20mg/ml) Compounded Solution","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","LIDOCAINE HYDROCHLORIDE ANHYDROUS","20 mg/1 mL","71285-8091-1","500 mL in 1 BAG (71285-8091-1)","2022-2",""
"71285-8093","HUMAN COMPOUNDED DRUG","Epinephrine 4mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","EPINEPHRINE","4 mg/250 mL","71285-8093-1","250 mL in 1 BAG (71285-8093-1)","2022-1, 2021-2, 2022-2",""
"71285-8093","HUMAN COMPOUNDED DRUG","Epinephrine 4mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","EPINEPHRINE","4 mg/250 mL","71285-8093-1","250 mL in 1 BAG (71285-8093-1)","2022-1, 2021-2, 2022-2",""
"71285-8093","HUMAN COMPOUNDED DRUG","Epinephrine 4mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","EPINEPHRINE","4 mg/250 mL","71285-8093-1","250 mL in 1 BAG (71285-8093-1)","2022-1, 2021-2, 2022-2",""
"71285-8095","HUMAN COMPOUNDED DRUG","Norepinephrine 16mg added to D5W","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","16 mg/250 mL","71285-8095-1","250 mL in 1 BAG (71285-8095-1)","2021-2, 2022-2, 2022-1",""
"71285-8095","HUMAN COMPOUNDED DRUG","Norepinephrine 16mg added to D5W","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","16 mg/250 mL","71285-8095-1","250 mL in 1 BAG (71285-8095-1)","2021-2, 2022-2, 2022-1",""
"71285-8095","HUMAN COMPOUNDED DRUG","Norepinephrine 16mg added to D5W","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","16 mg/250 mL","71285-8095-1","250 mL in 1 BAG (71285-8095-1)","2021-2, 2022-2, 2022-1",""
"71285-8096","HUMAN COMPOUNDED DRUG","Norepinephrine 8mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","8 mg/250 mL","71285-8096-1","250 mL in 1 BAG (71285-8096-1)","2021-2, 2022-2, 2022-1",""
"71285-8096","HUMAN COMPOUNDED DRUG","Norepinephrine 8mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","8 mg/250 mL","71285-8096-1","250 mL in 1 BAG (71285-8096-1)","2021-2, 2022-2, 2022-1",""
"71285-8096","HUMAN COMPOUNDED DRUG","Norepinephrine 8mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","8 mg/250 mL","71285-8096-1","250 mL in 1 BAG (71285-8096-1)","2021-2, 2022-2, 2022-1",""
"71285-8097","HUMAN COMPOUNDED DRUG","Norepinephrine 4mg added to NS","SOLUTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","Central Admixture Pharmacy Services, Inc.","NOREPINEPHRINE BITARTRATE","4 mg/250 mL","71285-8097-1","250 mL in 1 BAG (71285-8097-1)","2021-2, 2022-2, 2022-1",""
