"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"70092-399","HUMAN COMPOUNDED DRUG","Fent2mcg/mL-Rop0.1% PF100mlNS CADD-YFSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE","200 ug/100 mL; 100 mg/100 mL","70092-399-75","200 mL in 1 CARTRIDGE (70092-399-75)","2022-2, 2022-1","CII"
"70092-400","HUMAN COMPOUNDED DRUG","Fentanyl PF 10 mcg/ml 1ml NS- 3 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","10 ug/1 mL","70092-400-43","1 mL in 1 SYRINGE (70092-400-43)","2022-2, 2022-1","CII"
"70092-400","HUMAN COMPOUNDED DRUG","Fentanyl PF 10 mcg/ml 1ml NS- 3 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","10 ug/1 mL","70092-400-43","1 mL in 1 SYRINGE (70092-400-43)","2022-2, 2022-1","CII"
"70092-415","HUMAN COMPOUNDED DRUG","Fentanyl PF 50 mcg/ml 20ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","1000 ug/20 mL","70092-415-47","20 mL in 1 SYRINGE (70092-415-47)","2022-2, 2022-1","CII"
"70092-415","HUMAN COMPOUNDED DRUG","Fentanyl PF 50 mcg/ml 20ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","1000 ug/20 mL","70092-415-47","20 mL in 1 SYRINGE (70092-415-47)","2022-2, 2022-1","CII"
"70092-418","HUMAN COMPOUNDED DRUG","Midazolam 1 mg/ml in 100ml NS IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MIDAZOLAM HYDROCHLORIDE","100 mg/100 mL","70092-418-36","100 mL in 1 BAG (70092-418-36)","2022-2, 2022-1","CIV"
"70092-418","HUMAN COMPOUNDED DRUG","Midazolam 1 mg/ml in 100ml NS IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MIDAZOLAM HYDROCHLORIDE","100 mg/100 mL","70092-418-36","100 mL in 1 BAG (70092-418-36)","2022-2, 2022-1","CIV"
"70092-431","HUMAN COMPOUNDED DRUG","Ropivacaine PF 0.2% 200ml NS CADD-B FSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE","400 mg/200 mL","70092-431-76","200 mL in 1 BAG (70092-431-76)","2022-2, 2022-1",""
"70092-431","HUMAN COMPOUNDED DRUG","Ropivacaine PF 0.2% 200ml NS CADD-B FSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE","400 mg/200 mL","70092-431-76","200 mL in 1 BAG (70092-431-76)","2022-2, 2022-1",""
"70092-433","HUMAN COMPOUNDED DRUG","RECK in 50 ml NaCl- 50 ml syr","INJECTION","PERIARTICULAR","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","KETOROLAC TROMETHAMINE; RACEPINEPHRINE HYDROCHLORIDE; CLONIDINE HYDROCHLORIDE; ROPIVACAINE HYDROCHLORIDE",".3 mg/1 mL; .005 mg/1 mL; .0008 mg/1 mL; 2.46 mg/1 mL","70092-433-50","50 mL in 1 SYRINGE (70092-433-50)","2022-2",""
"70092-435","HUMAN COMPOUNDED DRUG","Acetaminophen 10 mg/ml 10 ml syr PF","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ACETAMINOPHEN","100 mg/10 mL","70092-435-46","10 mL in 1 SYRINGE (70092-435-46)","2022-2, 2022-1",""
"70092-435","HUMAN COMPOUNDED DRUG","Acetaminophen 10 mg/ml 10 ml syr PF","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ACETAMINOPHEN","100 mg/10 mL","70092-435-46","10 mL in 1 SYRINGE (70092-435-46)","2022-2, 2022-1",""
"70092-440","HUMAN COMPOUNDED DRUG","Fent2mcg/mL-Rop0.2% PF200mlNS CADD-YFSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE; FENTANYL CITRATE","400 mg/200 mL; 400 ug/200 mL","70092-440-76","200 mL in 1 CARTRIDGE (70092-440-76)","2022-2, 2022-1","CII"
"70092-440","HUMAN COMPOUNDED DRUG","Fent2mcg/mL-Rop0.2% PF200mlNS CADD-YFSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","ROPIVACAINE HYDROCHLORIDE; FENTANYL CITRATE","400 mg/200 mL; 400 ug/200 mL","70092-440-76","200 mL in 1 CARTRIDGE (70092-440-76)","2022-2, 2022-1","CII"
"70092-441","HUMAN COMPOUNDED DRUG","Fent2mcg/mL-Rop0.1% PF200mlNS CADD-YFSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE","400 ug/200 mL; 200 mg/200 mL","70092-441-76","200 mL in 1 CARTRIDGE (70092-441-76)","2022-2, 2022-1","CII"
"70092-441","HUMAN COMPOUNDED DRUG","Fent2mcg/mL-Rop0.1% PF200mlNS CADD-YFSFF","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE","400 ug/200 mL; 200 mg/200 mL","70092-441-76","200 mL in 1 CARTRIDGE (70092-441-76)","2022-2, 2022-1","CII"
