ndc,rxcui
47426050104,2560308
00362055705,1673142
31382055705,1673142
00362901150,1012461
00409175250,1012381
00409381201,1012381
63323046101,1012413
63323046157,1012413
00409175550,1012388
00409658101,1012388
58472023050,1012388
63323046301,1012417
63323046357,1012417
00409174610,1867612
00409174670,1867612
00409573801,1867612
00409573810,1867612
63323046801,1867618
63323046817,1867618
00409174910,1673242
00409174970,1673242
00409812601,1673242
00409812610,1673242
63323046204,1673296
63323046217,1673296
00409154101,1867614
00409154110,1867614
00409174630,1867614
00409174671,1867614
63323046802,1867620
63323046808,1867620
63323046837,1867620
63323046838,1867620
00409174929,1673243
00409174971,1673243
00409420801,1673243
00409420810,1673243
63323046201,1673298
63323046202,1673298
63323046203,1673298
63323046231,1673298
63323046237,1673298
63323046238,1673298
63323046001,1012421
63323046037,1012421
51715010003,2395798
51715010004,2395798
51715010010,2395798
00409930010,1734203
68462077710,1734203
68462077735,1734203
70069006101,1734203
70069006110,1734203
70069006125,1734203
71288073210,1734203
71288073211,1734203
00409930310,1734090
55150020010,1734090
70069006601,1734090
70069006610,1734090
70069006625,1734090
71288073710,1734090
71288073711,1734090
00143926301,1734207
00143926310,1734207
43066001501,1734207
43066001510,1734207
55150019520,1734207
65145010701,1734207
65145010710,1734207
68462079320,1734207
68462079355,1734207
68462079374,1734207
70069006201,1734207
70069006210,1734207
70069006225,1734207
71288073320,1734207
71288073321,1734207
72603021601,1734207
72603021625,1734207
83854001301,1734207
83854001302,1734207
83854001310,1734207
83854001325,1734207
83854001326,1734207
43066001901,1734483
43066001910,1734483
55150019720,1734483
65145010801,1734483
65145010810,1734483
68462077820,1734483
68462077855,1734483
68462077874,1734483
70069006301,1734483
70069006325,1734483
71288073420,1734483
71288073421,1734483
72603021701,1734483
72603021725,1734483
00143926501,905189
00143926510,905189
00409930220,905189
55150019920,905189
70069006501,905189
70069006525,905189
71288073620,905189
71288073621,905189
00143926601,1734084
00143926610,1734084
00781314214,1734084
00781314280,1734084
43066002701,1734084
43066002710,1734084
55150020120,1734084
65145011001,1734084
65145011010,1734084
67457087700,1734084
67457087720,1734084
68462079520,1734084
68462079555,1734084
70069006701,1734084
70069006710,1734084
70069006725,1734084
71288073820,1734084
71288073821,1734084
72603021901,1734084
72603021925,1734084
83854001501,1734084
83854001525,1734084
00143926401,1734475
00143926410,1734475
00409930130,1734475
00781314030,1734475
43066002301,1734475
43066002310,1734475
55150019830,1734475
65145010901,1734475
65145010910,1734475
67457087630,1734475
67457087699,1734475
68462079430,1734475
68462079462,1734475
68462079484,1734475
70069006401,1734475
70069006410,1734475
70069006425,1734475
71288073530,1734475
71288073531,1734475
72485051901,1734475
72485051910,1734475
72572070701,1734475
72572070710,1734475
72603021801,1734475
72603021825,1734475
83854001401,1734475
83854001402,1734475
83854001405,1734475
83854001406,1734475
83854001410,1734475
83854001425,1734475
83854001426,1734475
84549016425,1734475
85766009730,1734475
85766009801,1734475
85766009825,1734475
00143919501,1734347
00143919524,1734347
25021067166,1734347
25021067182,1734347
43066015201,1734347
43066015210,1734347
55150019699,1734347
65145016501,1734347
65145016510,1734347
65219063202,1734347
65219063210,1734347
67457079810,1734347
67457079899,1734347
68083026201,1734347
70121173201,1734347
70121173203,1734347
70121173209,1734347
70512079701,1734347
70512079724,1734347
00143919701,1734479
00143919724,1734479
25021065282,1734479
70121173401,1734479
70121173403,1734479
70121173407,1734479
00143919601,1734355
00143919612,1734355
25021067167,1734355
25021067187,1734355
43066015401,1734355
43066015410,1734355
65145016601,1734355
65145016610,1734355
65219063204,1734355
65219063220,1734355
67457079920,1734355
67457079999,1734355
68083026301,1734355
70121173301,1734355
70121173303,1734355
70121173309,1734355
70512079801,1734355
70512079824,1734355
25021065287,1734481
70121173503,1734481
70121173507,1734481
63323028501,1734204
63323028503,1734204
63323028510,1734204
63323028513,1734204
63323028801,1734091
63323028803,1734091
63323028810,1734091
63323028811,1734091
63323028506,1734208
63323028507,1734208
63323028520,1734208
63323028523,1734208
63323028528,1734208
63323028541,1734208
63323028601,1734484
63323028605,1734484
63323028620,1734484
63323028623,1734484
63323028627,1734484
63323028641,1734484
63323028701,905191
63323028703,905191
63323028720,905191
63323028721,905191
63323028806,1734086
63323028807,1734086
63323028820,1734086
63323028821,1734086
63323028823,1734086
63323028825,1734086
63323028827,1734086
63323028829,1734086
00404992430,1734476
63323028609,1734476
63323028611,1734476
63323028630,1734476
63323028631,1734476
63323028635,1734476
63323028638,1734476
63323028643,1734476
63323028693,1734476
63323028695,1734476
63323028502,1734348
63323028551,1734348
63323028553,1734348
63323028555,1734348
63323028561,1734348
63323028565,1734348
63323028567,1734348
63323028568,1734348
63323028600,1734480
63323028603,1734480
63323028504,1734356
63323028557,1734356
63323028559,1734356
63323028563,1734356
63323028564,1734356
63323028573,1734356
63323028633,1734482
63323028663,1734482
10135069461,861064
16714060101,861064
16714060102,861064
59762006701,861064
63304084005,861064
63629877401,861064
64980040906,861064
65862022420,861064
65862022460,861064
71093014311,861064
00378418601,312940
00378418605,312940
00378418693,312940
00378801101,312940
00378801105,312940
00615859605,312940
00615859639,312940
00904692461,312940
16714061101,312940
16714061102,312940
16714061103,312940
16714061104,312940
16714061105,312940
16714061106,312940
16729021510,312940
16729021511,312940
16729021515,312940
16729021516,312940
16729021543,312940
23155075703,312940
23155075705,312940
23155075709,312940
31722014505,312940
31722014530,312940
31722014590,312940
31722021205,312940
31722021230,312940
31722021290,312940
33358032130,312940
43353081230,312940
43602097915,312940
43602097916,312940
50090297600,312940
50090297601,312940
50090394700,312940
50090394701,312940
50090584800,312940
50090584801,312940
50090661300,312940
50090661301,312940
50090661400,312940
50090723000,312940
50090739500,312940
50090739501,312940
50090739600,312940
50090761400,312940
50090761401,312940
50090761500,312940
50090769800,312940
50090769801,312940
50090769900,312940
50111093010,312940
50228046705,312940
50228046730,312940
50228046790,312940
50268076811,312940
50268076815,312940
50268082311,312940
50268082315,312940
50436630601,312940
51079014901,312940
51079014920,312940
51655034526,312940
52959087230,312940
52959087238,312940
52959087260,312940
55700022230,312940
55700056230,312940
55700056290,312940
59762496001,312940
59762634701,312940
60505018008,312940
60687023101,312940
60687023111,312940
63187047830,312940
63187047860,312940
63187047890,312940
63187085930,312940
63187085960,312940
63187085990,312940
63304016430,312940
63629331301,312940
63629331302,312940
63629331303,312940
65862001101,312940
65862001105,312940
65862001130,312940
65862001150,312940
65862001151,312940
65862001160,312940
65862001190,312940
65862001199,312940
67046166503,312940
68071395103,312940
68071446203,312940
68071446206,312940
68084018001,312940
68084018011,312940
68180035101,312940
68180035103,312940
68180035106,312940
68180035108,312940
68180035109,312940
68180097801,312940
68180097802,312940
68180097803,312940
68645048770,312940
68645052154,312940
68788404501,312940
68788404503,312940
68788404506,312940
68788404509,312940
68788643701,312940
68788643703,312940
68788643706,312940
68788643709,312940
68788792801,312940
68788792803,312940
68788792806,312940
68788792809,312940
68788868901,312940
68788868903,312940
68788868906,312940
68788868909,312940
69097083302,312940
69097083305,312940
69097083307,312940
69097083312,312940
70010020303,312940
70010020305,312940
70010020309,312940
70010020310,312940
70010020350,312940
70010020353,312940
70010020363,312940
70518093800,312940
70518174800,312940
70518174801,312940
70518417100,312940
70518430700,312940
70518430701,312940
70518442500,312940
70518460600,312940
70518460601,312940
71093012901,312940
71093012903,312940
71093012905,312940
71205034330,312940
71205034360,312940
71205034390,312940
71335032801,312940
71335032802,312940
71335032803,312940
71335032804,312940
71335032805,312940
71335032806,312940
71335080801,312940
71335080802,312940
71335080803,312940
71335080804,312940
71335080805,312940
71335080806,312940
71335107801,312940
71335107802,312940
71335107803,312940
71335107804,312940
71335107805,312940
71335107806,312940
71335107807,312940
71335258701,312940
71335258702,312940
71335258703,312940
71335258704,312940
71335258705,312940
71335258706,312940
71335258707,312940
71335265901,312940
71335265902,312940
71335265903,312940
71335265904,312940
71335265905,312940
71335265906,312940
71335265907,312940
72789034690,312940
72865020505,312940
72865020518,312940
72865020530,312940
72865020590,312940
76282021201,312940
76282021205,312940
76282021218,312940
76282021230,312940
76282021260,312940
76282021290,312940
76420077901,312940
76420077930,312940
76420077960,312940
76420077990,312940
84386009701,312940
84386009705,312940
84386009730,312940
84386009750,312940
84386009751,312940
84386009760,312940
84386009790,312940
84386009799,312940
00378418701,312941
